Ticker,CLOSE,RET,AVG_VOL,VOL,PE,PB,FPE,ROE,ROA,REV_G,EPS_G,GM,PM,OM,DE,CR,QR,BETA,MCAP,FCF,OCF,DY,Sector,CLOSE_missing,RET_missing,AVG_VOL_missing,VOL_missing,PE_missing,PB_missing,FPE_missing,ROE_missing,ROA_missing,REV_G_missing,EPS_G_missing,GM_missing,PM_missing,OM_missing,DE_missing,CR_missing,QR_missing,BETA_missing,MCAP_missing,FCF_missing,OCF_missing,DY_missing,Missing_Ratio,PC1,PC2,PC3
DBD.VN,48800.0,-0.1422473657310355,265382.41532258067,0.013331412455445,18.903591,2.610827,19.38224,0.16407,0.08144,0.016,-0.019,0.45935002,0.15554,0.1823,14.808,2.994,2.023,0.003,4743360937984.0,34080593920.0,477387718656.0,3.98,Pharma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.512676342307594,1.458039148940459,0.3980907506032778
IMP.VN,51700.0,0.1024286965974659,156408.90322580645,0.0193584330975308,23.251432,3.0367444,18.692707,0.15421,0.10163999,-0.081,0.102,0.47752,0.14904,0.18983999,8.407,4.552,2.531,0.463,7223020355584.0,641282080768.0,292537434112.0,1.07,Pharma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.7667670571919143,1.582613192983587,0.7233686826036201
TRA.VN,74000.0,0.0082690409245247,18805.58394265233,0.0120320791108592,14.025245,2.108778,12.0008675,0.19500999,0.09994,0.14,0.443,0.5498,0.09854999,0.14679,14.481,2.124,1.31,0.123,3274592747520.0,291252207616.0,358290423808.0,5.06,Pharma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0295127631028107,1.8184321748498509,0.7606643337811277
ANV.VN,26450.0,0.3869511030708148,2710070.9879032257,0.0287963640538231,5.6369786,1.6094545,10.63327,0.3196,0.14551,0.664,0.48,0.22448999,0.13826999,0.13001001,48.836,1.631,0.621,0.86,5990754287616.0,-239500476416.0,719167553536.0,2.22,Seafood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.019067069627947457,0.8543005141235753,0.9410723983689373
FMC.VN,33139.1171875,-0.209181923745971,89366.84274193548,0.0183094591723037,6.317114,0.9683902,12.0008675,0.1555,0.048979998,-0.297,0.599,0.1247,0.04739,0.025179999,37.056,1.966,1.345,0.443,2298419347456.0,599340023808.0,697541984256.0,5.69,Seafood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.086175875354506,0.8581219749263483,-0.768200591898939
VHC.VN,56600.0,-0.1762490291238402,1304418.6209677418,0.0239806814493177,8.849558,1.373204,8.118934,0.1619,0.07294,0.116,0.379,0.17313999,0.120979995,0.09814,22.264,2.871,1.799,0.467,13197845200896.0,527089434624.0,1777087545344.0,6.8,Seafood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.6861952524081785,1.409847602159671,0.4245736321261498
BMP.VN,165814.515625,0.4300109317967056,190637.495967742,0.0224672108808075,9.157509,3.5869005,11.35059,0.3463736000000003,0.2155135976000003,0.054,0.059,0.47234002,0.22311,0.27868,1.726,5.16,4.19,0.657,11411414581248.0,889038372864.0,1122481864704.0,10.608400000000008,Industrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.4293156167178958,4.791201368007852,5.840573675542732
CSV.VN,27900.0,-0.3852000230343405,1340371.6008064516,0.0226255428903484,15.898251,1.7654365,12.0008675,0.13413,0.07664,0.302,-0.181,0.24279,0.086490005,0.08111,12.375,3.966,2.705,0.345,2839847632896.0,-199198539776.0,-56296595456.0,3.89,Industrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.2566427153020014,1.3544090717664485,0.13020950157281957
ASM.VN,6751.6,-0.177225419592645,1191732.439516129,0.0204371119842378,21.834227,0.434259444,12.0008675,0.02665,0.02395,-0.09,4.333,0.12989001,0.00962,0.09871,164.781,1.559,0.668,0.648,2357665202176.0,-500822900736.0,-14525178880.0,2.81,Midcap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.19616162579023472,0.08172022485578442,-3.083890265918204
DIG.VN,17050.0,-0.0635751143713587,17244280.35887097,0.0293149500956468,13.210039,1.0860223,12.0008675,0.07079,0.028970001,-0.054,0.1805,0.23923,0.14338,-0.077012,14.031,2.305,0.627,0.957,10831463972864.0,432472195072.0,1731235676160.0,2.81,Midcap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.23035111411754952,-0.5574543263791272,-1.6342646020022478
HAG.VN,17750.0,0.4430894308943089,12973779.254032258,0.0257815225791926,6.127451,1.4869381,12.0008675,0.2375,0.05466,0.293,2.301,0.35306,0.37104,0.27919,42.591,0.931,0.725,0.327,19644689678336.0,3077918949376.0,1272149442560.0,2.81,Midcap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.07547834500381567,-0.8170892467253151,0.2809366766738503
IDI.VN,6790.0,-0.1749696233292831,1222553.3185483871,0.0232516974581435,11.148209,0.45814654,12.0008675,0.043959998,0.02414,-0.004,0.542,0.090229996,0.020499999,0.05736,152.037,1.446,0.861,0.06,2104819659571.2,-514679046144.0,45363286016.0,2.81,Midcap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9271214366133504,-0.02615220750308162,-2.9149164210918155
PAN.VN,27600.0,0.1768695562953925,1618865.3548387096,0.0220046043842235,6.016847,1.1464198,12.0008675,0.17608999,0.04083,-0.086,4.439,0.20691,0.06674,0.067090005,28.597,2.265,1.517,0.626,6726411091968.0,1254382108672.0,13076113915904.0,9.32,Midcap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.517882014965387,1.4440597983084122,-0.017547863218986774
PET.VN,33497.0390625,0.3438734967259778,1576602.052419355,0.029222129533992,17.15263,2.1543696,12.0008675,0.15958,0.02191,0.526,0.971,0.048800003,0.0123000005,0.026010001,263.04664,1.161,0.856,0.409,5202703810560.0,-2697168683008.0,-2885374967808.0,1.03,Midcap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.3929764500712911,0.6721669694383738,-2.460479485876907
SCR.VN,7620.0,0.341549295774648,5704825.181451613,0.0268665445927491,26.246077,0.4355091,12.0008675,0.017144,0.00878,0.368,7.608,0.31018,0.06926,0.12229,85.868,1.866,0.235,0.726,2303683461120.0,-609450262528.0,-1478678020096.0,2.81,Midcap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.9762491630317174,-0.11819452643516636,-2.6962199658926034
SJS.VN,61000.0,1.179172464280397,929676.1774193548,0.029363369450056,34.72222,4.769309,12.0008675,0.14119,0.046409998,1.21,1.611,0.71891,0.50827,0.69575,32.448,2.642,0.203,0.365,16361114828800.0,-187880292352.0,-283710554112.0,2.81,Midcap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-2.220176218590075,0.08226645320624,1.2032328457210975
